"subj","month","SubjectNumber","audio_video","numspeakers","numtokens","numtypes","FAT","MOT","num_exp_tokens","num_exp_types","d","q","s","r","n","i","TOY","n_op","y_op","prop_op","n_op_exp","y_op_exp","prop_op_exp","CHI","CHItypes","prop_mom","prop_dad","prop_parent","prop_tech","tech","propd","propi","propn","propq","propr","props","type_token_ratio","exp_type_ratio","exp_token_ratio","ent_subj_av","sum_prop_ut","noun_chi_onset","posttalk"
"01","06","01_06","audio",4,440,125,89,327,154,12,176,64,28,67,84,21,0,189,251,0.570454545454545,57,97,0.62987012987013,0,0,0.743181818181818,0.202272727272727,0.945454545454545,0,0,0.4,0.0477272727272727,0.190909090909091,0.145454545454545,0.152272727272727,0.0636363636363636,0.284090909090909,0.096,0.35,2.26525242295598,1,12,FALSE
"01","06","01_06","video",3,120,62,7,112,9,6,47,28,2,29,13,1,0,53,67,0.558333333333333,6,3,0.333333333333333,0,0,0.933333333333333,0.0583333333333333,0.991666666666667,0,0,0.391666666666667,0.00833333333333333,0.108333333333333,0.233333333333333,0.241666666666667,0.0166666666666667,0.516666666666667,0.0967741935483871,0.075,2.01806743693355,1,12,FALSE
"01","07","01_07","audio",5,532,182,195,317,66,14,282,79,92,0,57,22,0,328,185,0.360623781676413,37,28,0.430769230769231,0,0,0.595864661654135,0.366541353383459,0.962406015037594,0,0,0.530075187969925,0.0413533834586466,0.107142857142857,0.148496240601504,0,0.172932330827068,0.342105263157895,0.0769230769230769,0.12406015037594,1.86712061810061,1,12,FALSE
"01","07","01_07","video",2,114,31,0,111,16,6,26,18,68,0,0,2,0,35,79,0.692982456140351,3,13,0.8125,0,0,0.973684210526316,0,0.973684210526316,0,0,0.228070175438596,0.0175438596491228,0,0.157894736842105,0,0.596491228070175,0.271929824561404,0.193548387096774,0.140350877192982,1.45378864659761,1,12,FALSE
"01","08","01_08","audio",10,448,174,192,209,62,13,161,63,93,86,37,8,0,193,255,0.569196428571429,20,42,0.67741935483871,0,0,0.466517857142857,0.428571428571429,0.895089285714286,0.0290178571428571,13,0.359375,0.0178571428571429,0.0825892857142857,0.140625,0.191964285714286,0.207589285714286,0.388392857142857,0.0747126436781609,0.138392857142857,2.25736258852491,1,12,FALSE
"01","08","01_08","video",2,399,156,0,397,29,9,53,25,66,227,18,10,0,130,269,0.674185463659148,16,13,0.448275862068966,0,0,0.994987468671679,0,0.994987468671679,0,0,0.132832080200501,0.025062656641604,0.0451127819548872,0.06265664160401,0.568922305764411,0.165413533834586,0.390977443609023,0.0576923076923077,0.0726817042606516,1.86452905074929,1,12,FALSE
"01","09","01_09","audio",4,471,129,50,398,81,8,136,56,28,209,27,15,22,125,346,0.734607218683652,19,62,0.765432098765432,0,0,0.845010615711253,0.106157112526539,0.951167728237792,0.0467091295116773,22,0.288747346072187,0.0318471337579618,0.0573248407643312,0.118895966029724,0.443736730360934,0.059447983014862,0.273885350318471,0.062015503875969,0.171974522292994,2.03980375925115,1,12,FALSE
"01","09","01_09","video",2,87,44,0,82,8,4,24,21,18,12,12,0,0,25,62,0.71264367816092,4,4,0.5,0,0,0.942528735632184,0,0.942528735632184,0,0,0.275862068965517,0,0.137931034482759,0.241379310344828,0.137931034482759,0.206896551724138,0.505747126436782,0.0909090909090909,0.0919540229885057,2.26621342758515,1,12,FALSE
"01","10","01_10","audio",7,904,224,328,427,123,14,232,114,139,251,130,38,95,409,495,0.547566371681416,58,65,0.528455284552846,0,0,0.472345132743363,0.36283185840708,0.835176991150443,0.107300884955752,97,0.256637168141593,0.0420353982300885,0.143805309734513,0.126106194690265,0.277654867256637,0.153761061946903,0.247787610619469,0.0625,0.136061946902655,2.4034529061772,1,12,FALSE
"01","10","01_10","video",2,228,55,0,212,34,7,93,49,21,36,27,2,0,120,108,0.473684210526316,17,17,0.5,0,0,0.929824561403509,0,0.929824561403509,0,0,0.407894736842105,0.0087719298245614,0.118421052631579,0.214912280701754,0.157894736842105,0.0921052631578947,0.241228070175439,0.127272727272727,0.149122807017544,2.16622124099201,1,12,FALSE
